,full_name,ch_name,debut_date,zero,least,most
hololive,Hololive,hololive ホロライブ - VTuber Group,11/7/2018,EB9989,E7F7FB,89DBEB
sora,Tokino Sora,SoraCh. ときのそらチャンネル,9/7/2017,E9A401,CCDAFA,0146E9
roboco,Roboco,Roboco Ch. - ロボ子,3/4/2018,4F8050,E5DBE5,804F7F
miko,Sakura Miko,Miko Ch. さくらみこ,8/1/2018,4BFFD6,FFDBE3,FF4B74
suisei,Hoshimachi Suisei,Suisei Channel,3/22/2018,D0A26A,E1EAF5,6A98D0
azki,AZKi,AZKi Channel,11/15/2018,1CD177,F5D1E3,D11C76
mel,Yozora Mel,Mel Channel 夜空メルチャンネル,5/13/2018,0443FF,FFF2CC,FFC004
fubuki,Shirakami Fubuki,フブキCh。白上フブキ,6/1/2018,FF5D2B,D4F5FF,2BCDFF
matsuri,Natsuiro Matsuri,Matsuri Channel 夏色まつり,6/1/2018,06B0FF,FFDDCD,FF5506
haachama,Akai Haato,HAACHAMA Ch 赤井はあと,6/2/2018,06D9B6,F7CDD4,D90629
aki,Aki Rosenthal,アキロゼCh。Vtuber/ホロライブ所属,6/7/2018,06D45A,F6CDE5,D40680
aqua,Minato Aqua,Aqua Ch. 湊あくあ,8/8/2018,5DFE84,FEDEF7,FE5DD7
shion,Murasaki Shion,Shion Ch. 紫咲シオン,8/17/2018,8EC157,E7DDF2,8A57C1
ayame,Nakiri Ayame,Nakiri Ayame Ch. 百鬼あやめ,9/3/2018,23CDB6,F5D3D7,CD233A
choco,Yuzuki Choco,Choco Ch. 癒月ちょこ,9/5/2018,5D8BE9,FAF1DE,E9BB5D
subaru,Oozora Subaru,Subaru Ch. 大空スバル,9/16/2018,4217E7,F1FAD0,BCE717
mio,Ookami Mio,Mio Channel 大神ミオ,12/7/2018,72714F,DBDCE2,4F5072
okayu,Nekomata Okayu,Okayu Ch. 猫又おかゆ,4/6/2019,8FE866,F2E0FA,BF66E8
korone,Inugami Korone,Korone Ch. 戌神ころね,4/13/2019,143CDC,F8F0D0,DCB414
pekora,Usada Pekora,Pekora Ch. 兎田ぺこら,7/17/2019,EB9565,E0F1FB,65BBEB
rushia,Uruha Rushia,Rushia Ch. 潤羽るしあ,7/18/2019,E10C32,CEF9F1,0CE1BB
flare,Shiranui Flare,Flare Ch. 不知火フレア,8/7/2019,11B2DB,F7D7CF,DB3A11
noel,Shirogane Noel,Noel Ch. 白銀ノエル,8/8/2019,9E958A,E7E9EB,8A939E
marine,Houshou Marine,Marine Ch. 宝鐘マリン,8/11/2019,1397A8,EDD3CF,A82413
kanata,Amane Kanata,Kanata Ch. Kanata Amane,12/27/2019,EBA377,E3F2FB,77BFEB
coco,Kiryu Coco,Coco Ch. 桐生ココ,12/28/2019,127DDD,F8E2CF,DD7212
watame,Tsunomaki Watame,Watame Ch. 角巻わため,12/29/2019,8989DB,F7F7E7,DBDB89
towa,Tokoyami Towa,Towa Ch. 常闇トワ,1/3/2020,E4EBA2,EDECFB,A9A2EB
luna,Himemori Luna,Luna Ch. 姫森ルーナ,1/4/2020,6DDE9D,F8E1EE,DE6DAE
lamy,Yukihana Lamy,Lamy Ch. 雪花ラミィ,8/12/2020,DF7247,DAF0F8,47B4DF
nene,Momosuzu Nene,Nene Ch.桃鈴ねね,8/13/2020,1097FF,FFE4CF,FF7810
botan,Shishiro Botan,Botan Ch.獅白ぼたん,8/14/2020,CF5F87,DFF5ED,5FCFA7
polka,Omaru Polka,Polka Ch. 尾丸ポルカ,8/16/2020,09AAAA,EECDCD,AA0909
laplus,La+ Darknesss,Laplus ch. ラプラス・ダークネス,11/26/2021,649714,DAD0EA,471497
lui,Takane Lui,Lui ch. 鷹嶺ルイ - holoX -,11/27/2021,36524A,DCD6D8,52363E
koyori,Hakui Koyori,Koyori ch. 博衣こより - holoX -,11/28/2021,68FFBA,FFE0EE,FF68AD
chloe,Sakamata Chloe,Chloe ch. 沙花叉クロヱ - holoX -,11/29/2021,0CA9AB,EECECE,AB0E0C
iroha,Kazama Iroha,Iroha ch. 風真いろは - holoX -,11/30/2021,BF454E,D9F2F0,45BFB6
risu,Ayunda Risu,Ayunda Risu Ch. hololive-ID,4/10/2020,82EDED,FBE6E6,ED8282
moona,Moona Hoshinova,Moona Hoshinova hololive-ID,4/11/2020,93BE4E,E4DBF2,794EBE
iofi,Airani Iofifteen,Airani Iofifteen Channel hololive-ID,4/12/2020,6A0BDD,E5F8CE,7EDD0B
ollie,Kureiji Ollie,Kureiji Ollie Ch. hololive-ID,12/4/2020,0CD993,F7CEDC,D90C52
anya,Anya Melfissa,Anya Melfissa Ch. hololive-ID,12/5/2020,1159E7,FAEBCF,E79F11
reine,Pavolia Reine,Pavolia Reine Ch. hololive-ID,12/6/2020,7F7404,CCCFE5,040F7F
zeta,Vestia Zeta,Vestia Zeta Ch. hololive-ID,3/25/2022,ACA398,EAECEE,98A1AC
kaela,Kaela Kovalskia,Kaela Kovalskia Ch. hololive-ID,3/26/2022,25DCD9,F8D3D4,DC2528
kobo,Kobo Kanaeru,Kobo Kanaeru Ch. hololive-ID,3/27/2022,E4B893,E9F2F9,93BFE4
calli,Mori Calliope,Mori Calliope Ch. hololive-EN,9/12/2020,03A197,ECCCCE,A1030D
kiara,Takanashi Kiara,Takanashi Kiara Ch. hololive-EN,9/12/2020,1CCAFF,FFDCD1,FF511C
ina,Ninomae Ina'nis,Ninomae Ina'nis Ch. hololive-EN,9/13/2020,6A6A3F,D8D8E1,3F3F6A
gura,Gawr Gura,Gawr Gura Ch. hololive-EN,9/13/2020,B28239,D7E1EF,3969B2
ame,Watson Amelia,Watson Amelia Ch. hololive-EN,9/13/2020,3A6DF2,FCF2D7,F2BF3A
irys,IRyS,IRyS Ch. hololive-EN,7/11/2021,96BCA2,F1EAEF,BC96B0
fauna,Ceres Fauna,Ceres Fauna Ch. hololive-EN,8/23/2021,CA3398,D6F4E0,33CA65
sana,Tsukumo Sana,Tsukumo Sana Ch. hololive-EN,8/24/2021,83D7AD,F7E6EE,D783AD
kronii,Ouro Kronii,Ouro Kronii Ch. hololive-EN,8/25/2021,989B18,D1D0EB,1B189B
mumei,Nanashi Mumei,Nanashi Mumei Ch. hololive-EN,8/26/2021,71A0C2,F2E9E2,C29371
bae,Hakos Baelz,Hakos Baelz Ch. hololive-EN,8/27/2021,29E7FB,FED8D4,FB3D29
shiori,Shiori Novella,Shiori Novella Ch. hololive-EN,7/30/2023,A2AE81,E8E5EE,8D81AE
bijou,Koseki Bijou,Koseki Bijou Ch. hololive-EN,7/30/2023,D7DE44,DBD9F8,4B44DE
nerissa,Nerissa Ravencroft,Nerissa Ravencroft Ch. hololive-EN,7/31/2023,998F2D,D5D7EA,2D3799
fuwamoco,Fuwamoco Abyssguard,FUWAMOCO Ch. hololive-EN,7/31/2023,B8EF6F,EDE2FB,A66FEF
miyabi,Hanasaki Miyabi,Miyabi Ch. 花咲みやび,6/8/2019,4BFFF0,FFDBDE,FF4B5A
kira,Kagami Kira,Kira Ch. 鏡見キラ,6/22/2019,FF1514,D0FEFF,14FEFF
izuru,Kanade Izuru,Izuru Ch. 奏手イヅル,9/8/2019,B69C31,D5DBF0,314BB6
aruran,Arurandeisu,Aruran Ch. アルランディス,10/20/2019,753556,D6E3DC,357554
rikka,Rikka,Rikka ch.律可,6/9/2019,BCF3EE,FCF1F2,F3BCC1
astel,Astel Leda,astel ch.アステル,12/7/2019,B26D0E,CEDCEF,0E53B2
temma,Kishido Temma,Temma Ch. 岸堂天真,12/14/2019,393CEE,FBFBD7,EEEB39
roberu,Yukoku Roberu,Roberu Ch. 夕刻ロベル,12/24/2019,0C8AFA,FEE4CE,FA7C0C
kaoru,Tsukishita Kaoru,Kaoru Ch.月下カオル,4/29/2020,B8FDFC,FEF0F1,FDB8B9
shien,Kageyama Shien,Shien Ch.影山シエン,4/30/2020,88AC69,E8E1EE,8D69AC
oga,Aragami Oga,Oga Ch.荒咬オウガ,5/1/2020,9841FB,ECFED9,A4FB41
fuma,Yatogami Fuma,Fuma Ch. 夜十神封魔 - UPROAR!!,3/29/2022,396CFF,FFF4D7,FFCC39
uyu,Utsugi Uyu,Uyu Ch. 羽継烏有 - UPROAR!! -,3/29/2022,57A0FF,FFF0DD,FFB657
gamma,Hizaki Gamma,Gamma Ch. 緋崎ガンマ - UPROAR!! -,3/30/2022,0DFBE8,FECED2,FB0D20
rio,Minase Rio,Rio Ch. 水無世燐央 - UPROAR!! -,3/30/2022,DED9B0,EFF0F8,B0B5DE
altare,Regis Altare,Regis Altare Ch. HOLOSTARS-EN,7/22/2022,E68C5D,DEF0FA,5DB7E6
magni,Magni Dezmond,Magni Dezmond Ch. HOLOSTARS-EN,7/22/2022,5F733C,DCD8E3,503C73
axel,Axel Syrios,Axel Syrios Ch. HOLOSTARS-EN,7/23/2022,2681FF,FFECD3,FFA426
vesper,Noir Vesper,Noir Vesper Ch. HOLOSTARS-EN,7/24/2022,72675C,DEE0E2,5C6772
shinri,Josuiji Shinri,Josuiji Shinri Ch. HOLOSTARS-EN,1/8/2023,45F790,FDD9EE,F745AC
flayon,Machina X Flayon,Machina X Flayon Ch. HOLOSTARS-EN,1/8/2023,3DDAE5,F9DAD8,E5483D
hakka,Banzoin Hakka,Banzoin Hakka Ch. HOLOSTARS-EN,1/8/2023,CEFCA1,F5ECFE,CFA1FC
bettel,Gavis Bettel,Gavis Bettel Ch. HOLOSTARS-EN,1/8/2023,38A1BE,F2DDD7,BE5538
